batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
A Aitken-Drummond,Scotland,8,8,8,0,78,114,13,0,0,0,22,68.42,9.75
A Ashok,New Zealand,1,1,1,0,10,12,2,0,0,0,10,83.33,10.0
A Athanaze,West Indies,17,17,17,0,405,537,46,9,2,0,66,75.42,23.82
A Bagai,Canada,24,24,21,3,614,995,63,1,5,0,87,61.71,29.24
A Balbirnie,Ireland,83,83,79,4,2628,3557,254,34,13,8,135,73.88,33.27
A Beggs,Ireland,1,1,1,0,0,2,0,0,0,0,0,0.0,0.0
A Bohara,Nepal,2,2,0,0,13,14,0,0,0,0,8,92.86,inf
A Bosch,South Africa,24,24,21,3,400,551,55,3,2,0,65,72.6,19.05
A Brindle,England,20,20,15,5,608,893,60,0,3,1,107,68.09,40.53
A Canning,Ireland,18,18,15,3,108,191,7,2,0,0,20,56.54,7.2
A Capsey,England,26,26,23,3,469,627,55,1,1,0,50,74.8,20.39
A Chopra,India,1,1,1,0,0,8,0,0,0,0,0,0.0,0.0
A Codrington,Canada,6,6,6,0,33,79,3,0,0,0,16,41.77,5.5
A Dalzell,Ireland,5,5,3,2,35,71,2,0,0,0,19,49.3,11.67
A Dananjaya,Sri Lanka,29,29,25,4,321,446,29,3,1,0,50,71.97,12.84
A Das,India,1,1,1,0,1,11,0,0,0,0,1,9.09,1.0
A Dercksen,South Africa,20,20,19,1,632,690,51,19,4,1,104,91.59,33.26
A Dutt,Netherlands,36,36,28,8,207,359,9,8,0,0,23,57.66,7.39
A Flintoff,England,74,74,60,14,2168,2414,213,56,11,2,123,89.81,36.13
A Flower,Zimbabwe,7,7,7,0,332,472,30,1,3,0,71,70.34,47.43
A Gardner,Australia,62,62,49,13,1587,1505,165,40,7,3,115,105.45,32.39
A Hartley,England,5,5,1,4,4,28,0,0,0,0,2,14.29,4.0
A Hlubi,South Africa,5,5,2,3,14,30,2,0,0,0,6,46.67,7.0
A Hunter,Ireland,39,39,36,3,1130,1352,125,3,7,1,121,83.58,31.39
A Johnson,Canada,19,19,19,0,438,460,53,23,3,0,65,95.22,23.05
A Khaka,South Africa,44,44,25,19,144,310,14,0,0,0,18,46.45,5.76
A King,Australia,20,20,15,5,268,287,15,16,1,0,51,93.38,17.87
A Kolan,United States of America,7,7,7,0,155,297,16,0,0,0,43,52.19,22.14
A Kumble,India,16,16,12,4,108,261,10,0,0,0,24,41.38,9.0
A Lister,Scotland,9,9,9,0,213,253,27,1,0,0,47,84.19,23.67
A Maregwede,Zimbabwe,8,8,7,1,108,182,10,1,0,0,37,59.34,15.43
A Martin,West Indies,5,5,1,4,10,29,0,0,0,0,4,34.48,10.0
A Mazvishaya,Zimbabwe,10,10,6,4,74,152,7,0,0,0,26,48.68,12.33
A McGrath,England,11,11,9,2,155,342,10,0,1,0,52,45.32,17.22
A Minny,South Africa,3,3,2,1,106,130,11,1,1,0,73,81.54,53.0
A Mishra,India,10,10,8,2,43,87,4,0,0,0,14,49.43,5.38
A Mithun,India,3,3,3,0,51,57,2,4,0,0,24,89.47,17.0
A Mohammed,West Indies,36,36,25,11,232,568,23,0,0,0,31,40.85,9.28
A Munisar,West Indies,2,2,2,0,4,24,1,0,0,0,4,16.67,2.0
A Nao,Papua New Guinea,15,15,7,8,54,71,4,1,0,0,11,76.06,7.71
A Ndiraya,Zimbabwe,16,16,14,2,428,624,40,0,1,0,82,68.59,30.57
A Nehra,India,31,31,20,11,90,174,9,2,0,0,16,51.72,4.5
A Neill,Scotland,6,6,2,4,29,43,2,0,0,0,14,67.44,14.5
A Nel,South Africa,19,19,9,10,123,159,14,3,0,0,30,77.36,13.67
A Nortje,South Africa,7,7,6,1,40,60,3,0,0,0,10,66.67,6.67
A Patel,Canada,1,1,1,0,25,30,3,0,0,0,25,83.33,25.0
A Phillip,West Indies,2,2,1,1,22,25,0,1,0,0,21,88.0,22.0
A Rawat,India,2,2,1,1,153,188,20,2,2,0,97,81.38,153.0
A Reddy,India,7,7,6,1,58,93,2,0,0,0,14,62.37,9.67
A Saud,Nepal,11,11,11,0,189,401,17,4,1,0,51,47.13,17.18
A Shahzad,England,8,8,6,2,40,62,0,3,0,0,9,64.52,6.67
A Shamshudeen,Canada,1,1,1,0,3,30,0,0,0,0,3,10.0,3.0
A Sharafu,United Arab Emirates,26,26,26,0,433,616,43,10,1,0,58,70.29,16.65
A Sharma,United Arab Emirates,29,29,27,2,578,791,68,9,3,0,98,73.07,21.41
A Shrubsole,England,32,32,22,10,199,258,21,4,0,0,32,77.13,9.05
A Steyn,South Africa,31,31,29,2,781,1278,82,1,4,1,117,61.11,26.93
A Sutherland,Australia,36,36,26,10,1062,1156,102,15,4,3,110,91.87,40.85
A Suwanchonrathi,Thailand,1,1,1,0,3,4,0,0,0,0,3,75.0,3.0
A Symonds,Australia,105,105,82,23,3589,4047,304,73,24,5,151,88.68,43.77
A Tector,Ireland,5,5,5,0,39,63,2,0,0,0,21,61.9,7.8
A Vala,Papua New Guinea,56,56,55,1,1783,2594,147,26,11,1,104,68.74,32.42
A Valthapa,United Arab Emirates,1,1,1,0,14,22,1,0,0,0,14,63.64,14.0
A Wellington,Australia,4,4,4,0,6,17,0,0,0,0,3,35.29,1.5
A Zampa,Australia,57,57,38,19,378,591,32,2,0,0,36,63.96,9.95
A Zimunu,Zimbabwe,8,8,6,2,68,87,3,0,0,0,21,78.16,11.33
A le Breton,South Africa,1,1,0,0,3,6,0,0,0,0,3,50.0,inf
A van der Merwe,Ireland,1,1,0,0,4,4,0,0,0,0,4,100.0,inf
AA Alleyne,West Indies,43,43,33,10,534,831,60,2,0,0,44,64.26,16.18
AA Deshpande,India,1,1,1,0,32,69,4,1,0,0,32,46.38,32.0
AA Jangoo,West Indies,5,5,4,1,153,170,6,5,0,1,104,90.0,38.25
AA Mulla,Canada,8,8,8,0,150,160,21,4,1,0,58,93.75,18.75
AA Obanda,Kenya,14,14,13,1,487,704,56,8,3,0,89,69.18,37.46
AA Paradkar,United States of America,5,5,4,1,51,85,3,1,0,0,24,60.0,12.75
AA Shafique,Oman,1,1,1,0,13,33,2,0,0,0,13,39.39,13.0
AAP Atkinson,England,8,8,6,2,104,81,16,2,0,0,38,128.4,17.33
AB Agarkar,India,37,37,37,0,352,552,26,6,1,0,53,63.77,9.51
AB Barath,West Indies,14,14,14,0,394,629,43,3,1,1,113,62.64,28.14
AB Dinda,India,5,5,5,0,21,38,1,0,0,0,16,55.26,4.2
AB Kaur,India,17,17,12,5,257,340,24,1,1,0,57,75.59,21.42
AB de Villiers,South Africa,213,213,175,38,9435,9488,825,200,52,25,176,99.44,53.91
AC Agar,Australia,18,18,13,5,322,400,28,4,0,0,48,80.5,24.77
AC Botha,Ireland,17,17,13,4,265,419,28,2,1,0,52,63.25,20.38
AC Cummins,Canada,3,3,1,2,21,23,2,0,0,0,9,91.3,21.0
AC Dawson,South Africa,1,1,0,0,23,32,4,0,0,0,23,71.88,inf
AC Evans,Scotland,11,11,7,4,66,92,6,1,0,0,22,71.74,9.43
AC Gilchrist,Australia,118,118,112,6,4355,4260,556,75,27,7,172,102.23,38.88
AC Jayangani,Sri Lanka,85,85,80,5,3151,4114,395,58,15,8,195,76.59,39.39
AC Kerr,New Zealand,71,72,60,12,2131,2856,208,4,10,3,119,74.61,35.52
AC Voges,Australia,27,27,18,9,798,956,57,7,3,1,112,83.47,44.33
AD Hales,England,65,65,62,3,2330,2483,270,45,13,6,171,93.84,37.58
AD Janakanthymala,Sri Lanka,2,2,1,1,1,15,0,0,0,0,1,6.67,1.0
AD Mascarenhas,England,13,13,11,2,245,262,12,13,1,0,52,93.51,22.27
AD Mathews,Sri Lanka,184,184,138,46,5646,6934,454,85,39,3,139,81.42,40.91
AD Poynter,Ireland,6,6,6,0,65,134,3,2,0,0,21,48.51,10.83
AD Russell,West Indies,47,47,38,9,1034,805,94,57,4,0,92,128.45,27.21
ADJ Pitcher,Bermuda,1,1,1,0,8,12,0,1,0,0,8,66.67,8.0
ADR Campbell,Zimbabwe,1,1,1,0,7,25,0,0,0,0,7,28.0,7.0
ADS Fletcher,West Indies,23,23,23,0,305,503,36,6,2,0,54,60.64,13.26
AE Jones,England,85,85,73,12,2593,3043,298,20,16,2,129,85.21,35.52
AE Satterthwaite,New Zealand,66,66,56,10,2895,3618,308,10,18,6,137,80.02,51.7
AE Smith,South Africa,1,1,1,0,45,30,3,1,0,0,45,150.0,45.0
AF Buurman,Netherlands,2,2,2,0,26,34,4,0,0,0,26,76.47,13.0
AF Giles,England,19,19,13,6,288,392,21,4,0,0,41,73.47,22.15
AF Milne,New Zealand,22,22,14,8,180,211,11,4,0,0,36,85.31,12.86
AF Sattaur,Canada,3,3,3,0,20,63,0,1,0,0,13,31.75,6.67
AG Cremer,Zimbabwe,49,49,40,9,507,897,33,1,0,0,37,56.52,12.68
AG Prince,South Africa,33,33,25,8,761,1126,50,4,2,0,78,67.58,30.44
AG Puttick,South Africa,1,1,1,0,0,5,0,0,0,0,0,0.0,0.0
AG Wharf,England,5,5,2,3,19,29,0,1,0,0,9,65.52,9.5
AGC Vimukthi,Sri Lanka,2,2,1,1,7,28,0,0,0,0,4,25.0,7.0
AGR Loudon,Unknown,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
AGS Gous,United States of America,13,14,12,2,415,484,42,12,4,0,83,85.74,34.58
AH Maqsood,Scotland,8,8,6,2,20,50,0,0,0,0,6,40.0,3.33
AH Thomson,Netherlands,2,2,2,0,16,37,1,0,0,0,10,43.24,8.0
AI Chudasama,United States of America,7,7,6,1,121,173,8,0,0,0,41,69.94,20.17
AJ Bichel,Australia,14,14,8,6,258,291,17,8,1,0,64,88.66,32.25
AJ Blackwell,Australia,33,33,25,8,953,1258,96,4,8,0,90,75.76,38.12
AJ Burger,Namibia,6,6,6,0,199,204,25,3,1,0,85,97.55,33.17
AJ Finch,Australia,139,139,136,3,5188,6135,513,118,29,16,153,84.56,38.15
AJ Hall,South Africa,28,28,21,7,387,464,30,6,2,0,56,83.41,18.43
AJ Healy,Australia,95,95,88,7,3338,3389,473,34,16,7,170,98.5,37.93
AJ Hosein,West Indies,30,30,21,9,309,409,18,12,1,0,60,75.55,14.71
AJ Ireland,Zimbabwe,7,7,6,1,12,64,1,0,0,0,6,18.75,2.0
AJ Kenealy,Ireland,6,6,7,-1,39,95,5,1,0,0,20,41.05,5.57
AJ McKay,New Zealand,9,9,3,6,12,47,0,0,0,0,4,25.53,4.0
AJ Redmond,New Zealand,6,6,6,0,152,266,19,0,1,0,52,57.14,25.33
AJ Stewart,England,12,12,11,1,398,547,32,1,4,0,83,72.76,36.18
AJ Strauss,England,112,112,107,5,3729,4732,400,25,24,5,158,78.8,34.85
AJ Turner,Australia,7,7,6,1,192,165,10,10,1,0,84,116.36,32.0
AJ Tye,Australia,7,7,4,3,57,48,5,2,0,0,19,118.75,14.25
AK Maguire,Ireland,9,9,5,4,27,41,2,0,0,0,10,65.85,5.4
AK Markram,South Africa,76,76,70,6,2539,2646,263,57,12,4,175,95.96,36.27
AK Perera,Sri Lanka,4,4,4,0,52,83,3,0,0,0,31,62.65,13.0
AK Peters,West Indies,4,4,4,0,6,29,0,0,0,0,4,20.69,1.5
AK Sah,Nepal,14,14,12,2,322,382,34,12,3,1,112,84.29,26.83
AL Hodgkinson,South Africa,3,3,3,0,121,169,9,0,1,0,71,71.6,40.33
AL Kandappah,Canada,2,2,1,1,97,159,4,3,1,0,69,61.01,97.0
AL Phehlukwayo,South Africa,52,52,37,15,827,996,74,32,2,0,69,83.03,22.35
AL Watkins,New Zealand,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0
AM Bacher,South Africa,5,5,5,0,102,181,12,0,1,0,56,56.35,20.4
AM Blignaut,Zimbabwe,20,20,19,1,284,264,33,5,3,0,58,107.58,14.95
AM Ellis,New Zealand,12,12,11,1,154,189,10,2,0,0,33,81.48,14.0
AM Fernando,Sri Lanka,10,10,4,6,7,32,0,0,0,0,3,21.88,1.75
AM Guruge,United Arab Emirates,2,2,0,0,14,26,1,0,0,0,10,53.85,inf
AM Hardie,Australia,12,12,12,0,180,227,16,2,0,0,44,79.3,15.0
AM McCarthy,West Indies,2,2,2,0,15,41,1,0,0,0,12,36.59,7.5
AM Nayar,India,1,1,0,0,0,7,0,0,0,0,0,0.0,0.0
AM Peterson,New Zealand,12,12,9,3,167,211,14,3,0,0,46,79.15,18.56
AM Phangiso,South Africa,12,12,11,1,81,164,5,0,0,0,20,49.39,7.36
AM Rahane,India,86,86,83,3,2906,3812,289,33,23,3,111,76.23,35.01
AM Samad,Canada,10,10,9,1,226,382,23,1,0,0,44,59.16,25.11
AM Tribe,Jersey,4,4,3,1,233,310,16,6,1,1,115,75.16,77.67
AN Cook,England,91,91,87,4,3204,4238,363,10,19,5,137,75.6,36.83
AN Davidson-Richards,England,7,7,4,3,160,193,9,1,2,0,53,82.9,40.0
AN Kelly,Ireland,33,33,28,5,422,652,35,1,0,0,35,64.72,15.07
AN Kervezee,Netherlands,9,9,9,0,110,204,13,0,0,0,18,53.92,12.22
AN Petersen,South Africa,18,18,17,1,498,610,53,3,4,0,80,81.64,29.29
AO Suji,Kenya,6,6,5,1,42,93,4,0,0,0,15,45.16,8.4
AP Devcich,New Zealand,11,11,11,0,195,262,25,0,1,0,58,74.43,17.73
APC Kilowan,South Africa,1,1,1,0,21,17,1,1,0,0,21,123.53,21.0
APS Lakshika,Sri Lanka,1,1,1,0,0,4,0,0,0,0,0,0.0,0.0
AR Adams,New Zealand,12,12,11,1,165,154,11,10,0,0,36,107.14,15.0
AR Berenger,United Arab Emirates,6,6,6,0,53,115,7,0,0,0,22,46.09,8.83
AR Bisht,Oman,2,2,1,1,15,26,1,0,0,0,11,57.69,15.0
AR Caddick,England,10,10,3,7,64,118,3,1,0,0,14,54.24,21.33
AR Cusack,Ireland,23,23,15,8,264,422,23,2,0,0,47,62.56,17.6
AR McBrine,Ireland,47,47,35,12,812,1110,82,14,2,0,79,73.15,23.2
AR Nurse,West Indies,35,35,25,10,454,464,40,12,0,0,44,97.84,18.16
AR Odedara,Oman,5,5,4,1,137,325,12,2,1,0,54,42.15,34.25
AR Patel,India,49,49,37,12,858,969,53,31,3,0,64,88.54,23.19
AR Pitcher,Bermuda,1,1,1,0,30,55,2,1,0,0,30,54.55,30.0
AR White,Ireland,23,23,23,0,301,498,23,0,0,0,40,60.44,13.09
ARI Umeed,Scotland,4,4,3,1,138,139,18,3,1,0,98,99.28,46.0
AS Hansra,Canada,14,14,12,2,295,538,20,6,2,0,70,54.83,24.58
AS Joseph,West Indies,44,44,29,15,461,623,35,21,0,0,49,74.0,15.9
AS Luseno,Kenya,2,2,1,1,0,3,0,0,0,0,0,0.0,0.0
AS Tanke,Netherlands,2,2,2,0,41,89,5,0,0,0,41,46.07,20.5
AS van Beuge,Netherlands,7,7,7,0,68,196,3,0,0,0,30,34.69,9.71
ASS Fletcher,West Indies,46,46,34,12,358,522,34,1,0,0,36,68.58,10.53
AT Carey,Australia,77,77,64,13,2245,2533,213,24,13,1,106,88.63,35.08
AT Nidamanuru,Netherlands,37,37,33,4,893,1003,60,31,4,2,111,89.03,27.06
AT Rayudu,India,49,49,35,14,1637,2143,141,26,9,3,124,76.39,46.77
ATS Silva,United Arab Emirates,1,1,0,0,1,1,0,0,0,0,1,100.0,inf
AU Rashid,England,81,81,55,26,941,1041,92,14,1,0,69,90.39,17.11
AV Lalcheta,Oman,2,2,2,0,18,49,1,0,0,0,12,36.73,9.0
AWJ Auguste,West Indies,4,4,4,0,56,83,5,2,0,0,22,67.47,14.0
AY Karim,Kenya,2,2,0,0,0,2,0,0,0,0,0,0.0,0.0
Aaditya Varadarajan,Canada,3,3,3,0,36,66,1,0,0,0,25,54.55,12.0
Aamer Jamal,Pakistan,2,2,0,0,5,9,1,0,0,0,5,55.56,inf
Aamer Yamin,Pakistan,3,3,1,2,95,101,8,5,1,0,62,94.06,95.0
Aamir Kaleem,Oman,13,13,13,0,160,271,21,3,0,0,32,59.04,12.31
Aarif Sheikh,Nepal,52,52,46,6,1319,2040,96,10,9,0,84,64.66,28.67
Aaron Jones,United States of America,51,51,48,3,1620,2287,114,32,11,1,123,70.84,33.75
Aasif Sheikh,Nepal,60,60,55,5,1578,2153,185,15,12,1,110,73.29,28.69
Aayan Afzal Khan,United Arab Emirates,34,34,26,8,595,829,55,13,3,0,94,71.77,22.88
Abdul Jabbar,Canada,2,2,2,0,59,86,9,1,0,0,44,68.6,29.5
Abdul Razzaq,Pakistan,100,100,70,30,2327,2689,174,67,9,2,109,86.54,33.24
Abdul Samad,Pakistan,1,1,1,0,0,6,0,0,0,0,0,0.0,0.0
